ID,Date,Region,City,Category,Product,Qty,UnitPrice,TotalPrice,CustomerEmail,WebsiteURL
ID07351,1-Jan,East,Boston,Bars,Carrot,1,1.77,58.41,jhon@gmail.com,https://www.google.com
ID07352,4-Jan,East,Boston,Crackers,Whole Wheat,1,3.49,303.63,smith@gmail.com,https://www.yahoo.com
ID07353,7-Jan,West,Los Angeles,Cookies,Chocolate Chip,1,1.87,108.46,Spectre@gmail.com,https://www.microsoft.com
ID07354,10-Jan,East,New York,Cookies,Chocolate Chip,1,1.87,153.34,doe@gmail.com,https://www.facebook.com
ID07355,13-Jan,East,Boston,Cookies,Arrowroot,1,2.18,82.84,jhon@gmail.com,https://www.meta.com
ID07356,16-Jan,East,Boston,Bars,Carrot,1,1.77,95.58,smith@gmail.com,https://www.spaces.com
ID07357,19-Jan,East,Boston,Crackers,Whole Wheat,1,3.49,520.01,Spectre@gmail.com,https://www.google.com
ID07358,22-Jan,West,Los Angeles,Bars,Carrot,1,1.77,90.27,doe@gmail.com,https://www.yahoo.com
ID07359,25-Jan,East,New York,Bars,Carrot,1,1.77,177,jhon@gmail.com,https://www.microsoft.com
ID07360,28-Jan,East,New York,Snacks,Potato Chips,1,1.35,37.8,smith@gmail.com,https://www.facebook.com
ID07361,31-Jan,East,Boston,Cookies,Arrowroot,1,2.18,78.48,Spectre@gmail.com,https://www.meta.com
ID07362,3-Feb,East,Boston,Cookies,Chocolate Chip,1,1.87,57.97,doe@gmail.com,https://www.spaces.com
ID07363,6-Feb,East,Boston,Crackers,Whole Wheat,1,3.49,97.72,jhon@gmail.com,https://www.google.com
ID07364,9-Feb,West,Los Angeles,Bars,Carrot,1,1.77,77.88,smith@gmail.com,https://www.yahoo.com
ID07365,12-Feb,East,New York,Bars,Carrot,1,1.77,40.71,Spectre@gmail.com,https://www.microsoft.com
ID07366,15-Feb,East,New York,Snacks,Potato Chips,1,1.35,36.45,doe@gmail.com,https://www.facebook.com
ID07367,18-Feb,East,Boston,Cookies,Arrowroot,1,2.18,93.74,jhon@gmail.com,https://www.meta.com
ID07368,21-Feb,East,Boston,Cookies,Oatmeal Raisin,1,2.84,349.32,smith@gmail.com,https://www.spaces.com
ID07369,24-Feb,West,Los Angeles,Bars,Bran,1,1.87,78.54,Spectre@gmail.com,https://www.google.com
ID07370,27-Feb,West,Los Angeles,Cookies,Oatmeal Raisin,1,2.84,93.72,doe@gmail.com,https://www.yahoo.com
ID07371,2-Mar,East,New York,Cookies,Chocolate Chip,1,1.87,158.95,jhon@gmail.com,https://www.microsoft.com
ID07372,5-Mar,West,San Diego,Cookies,Oatmeal Raisin,1,2.84,85.2,smith@gmail.com,https://www.facebook.com
ID07373,8-Mar,East,Boston,Bars,Carrot,1,1.77,107.97,Spectre@gmail.com,https://www.meta.com
ID07374,11-Mar,East,Boston,Crackers,Whole Wheat,1,3.49,139.6,doe@gmail.com,https://www.spaces.com
ID07375,14-Mar,West,Los Angeles,Cookies,Chocolate Chip,1,1.87,160.82,jhon@gmail.com,https://www.google.com
ID07376,17-Mar,East,New York,Bars,Carrot,1,1.77,67.26,smith@gmail.com,https://www.yahoo.com
ID07377,20-Mar,East,New York,Snacks,Potato Chips,1,1.68,114.24,Spectre@gmail.com,https://www.microsoft.com
ID07378,23-Mar,West,San Diego,Cookies,Chocolate Chip,1,1.87,72.93,doe@gmail.com,https://www.facebook.com
ID07379,26-Mar,East,Boston,Bars,Bran,1,1.87,192.61,jhon@gmail.com,https://www.meta.com
ID07380,29-Mar,East,Boston,Cookies,Oatmeal Raisin,1,2.84,548.12,smith@gmail.com,https://www.spaces.com
ID07381,1-Apr,West,Los Angeles,Bars,Carrot,1,1.77,102.66,Spectre@gmail.com,https://www.google.com
ID07382,4-Apr,West,Los Angeles,Snacks,Potato Chips,1,1.68,114.24,doe@gmail.com,https://www.yahoo.com
ID07383,7-Apr,East,New York,Bars,Carrot,1,1.77,161.07,jhon@gmail.com,https://www.microsoft.com
ID07384,10-Apr,East,New York,Crackers,Whole Wheat,1,3.49,80.27,smith@gmail.com,https://www.facebook.com
ID07385,13-Apr,West,San Diego,Snacks,Potato Chips,1,1.68,47.04,Spectre@gmail.com,https://www.meta.com
ID07386,16-Apr,East,Boston,Bars,Carrot,1,1.77,84.96,doe@gmail.com,https://www.spaces.com
ID07387,19-Apr,East,Boston,Snacks,Potato Chips,1,1.68,225.12,jhon@gmail.com,https://www.google.com
ID07388,22-Apr,West,Los Angeles,Bars,Carrot,1,1.77,35.4,smith@gmail.com,https://www.yahoo.com
ID07389,25-Apr,East,New York,Bars,Carrot,1,1.77,93.81,Spectre@gmail.com,https://www.microsoft.com
ID07390,28-Apr,East,New York,Snacks,Potato Chips,1,1.68,107.52,doe@gmail.com,https://www.facebook.com
ID07391,1-May,West,San Diego,Cookies,Chocolate Chip,1,1.87,117.81,jhon@gmail.com,https://www.meta.com
ID07392,4-May,East,Boston,Bars,Bran,1,1.87,196.35,smith@gmail.com,https://www.spaces.com
ID07393,7-May,East,Boston,Cookies,Oatmeal Raisin,1,2.84,391.92,Spectre@gmail.com,https://www.google.com
ID07394,10-May,West,Los Angeles,Bars,Carrot,1,1.77,44.25,doe@gmail.com,https://www.yahoo.com
ID07395,13-May,West,Los Angeles,Crackers,Whole Wheat,1,3.49,73.29,jhon@gmail.com,https://www.microsoft.com
ID07396,16-May,East,New York,Bars,Carrot,1,1.77,107.97,smith@gmail.com,https://www.facebook.com
ID07397,19-May,East,New York,Snacks,Potato Chips,1,1.68,82.32,Spectre@gmail.com,https://www.meta.com
ID07398,22-May,West,San Diego,Cookies,Chocolate Chip,1,1.87,102.85,doe@gmail.com,https://www.spaces.com
ID07399,25-May,East,Boston,Cookies,Arrowroot,1,2.18,58.86,jhon@gmail.com,https://www.google.com
ID07400,28-May,East,Boston,Bars,Carrot,1,1.77,102.66,smith@gmail.com,https://www.yahoo.com
ID07401,31-May,East,Boston,Crackers,Whole Wheat,1,3.49,115.17,Spectre@gmail.com,https://www.microsoft.com
ID07402,3-Jun,West,Los Angeles,Cookies,Oatmeal Raisin,1,2.84,817.92,doe@gmail.com,https://www.facebook.com
ID07403,6-Jun,East,New York,Cookies,Chocolate Chip,1,1.87,142.12,jhon@gmail.com,https://www.meta.com
ID07404,9-Jun,West,San Diego,Bars,Carrot,1,1.77,74.34,smith@gmail.com,https://www.spaces.com
ID07405,12-Jun,West,San Diego,Crackers,Whole Wheat,1,3.49,69.8,Spectre@gmail.com,https://www.google.com
ID07406,15-Jun,East,Boston,Bars,Carrot,1,1.77,132.75,doe@gmail.com,https://www.yahoo.com
ID07407,18-Jun,East,Boston,Crackers,Whole Wheat,1,3.49,132.62,jhon@gmail.com,https://www.microsoft.com
ID07408,21-Jun,West,Los Angeles,Bars,Carrot,1,1.77,541.62,smith@gmail.com,https://www.facebook.com
ID07409,24-Jun,West,Los Angeles,Snacks,Potato Chips,1,1.68,47.04,Spectre@gmail.com,https://www.meta.com
ID07410,27-Jun,East,New York,Bars,Bran,1,1.87,205.7,doe@gmail.com,https://www.spaces.com
ID07411,30-Jun,East,New York,Cookies,Oatmeal Raisin,1,2.84,144.84,jhon@gmail.com,https://www.google.com
ID07412,3-Jul,West,San Diego,Bars,Carrot,1,1.77,92.04,smith@gmail.com,https://www.yahoo.com
ID07413,6-Jul,West,San Diego,Crackers,Whole Wheat,1,3.49,97.72,Spectre@gmail.com,https://www.microsoft.com
ID07414,9-Jul,East,Boston,Bars,Carrot,1,1.77,240.72,doe@gmail.com,https://www.facebook.com
ID07415,12-Jul,East,Boston,Crackers,Whole Wheat,1,3.49,146.58,jhon@gmail.com,https://www.meta.com
ID07416,15-Jul,West,Los Angeles,Cookies,Chocolate Chip,1,1.87,140.25,smith@gmail.com,https://www.spaces.com
ID07417,18-Jul,East,New York,Bars,Bran,1,1.87,134.64,Spectre@gmail.com,https://www.google.com
ID07418,21-Jul,East,New York,Cookies,Oatmeal Raisin,1,2.84,159.04,doe@gmail.com,https://www.yahoo.com
ID07419,24-Jul,West,San Diego,Bars,Bran,1,1.87,95.37,jhon@gmail.com,https://www.microsoft.com
ID07420,27-Jul,West,San Diego,Snacks,Potato Chips,1,1.68,52.08,smith@gmail.com,https://www.facebook.com
ID07421,30-Jul,East,Boston,Bars,Bran,1,1.87,104.72,Spectre@gmail.com,https://www.meta.com
ID07422,2-Aug,East,Boston,Cookies,Oatmeal Raisin,1,2.84,389.08,doe@gmail.com,https://www.spaces.com
ID07423,5-Aug,West,Los Angeles,Cookies,Chocolate Chip,1,1.87,200.09,jhon@gmail.com,https://www.google.com
ID07424,8-Aug,East,New York,Bars,Carrot,1,1.77,42.48,smith@gmail.com,https://www.yahoo.com
ID07425,11-Aug,East,New York,Crackers,Whole Wheat,1,3.49,104.7,Spectre@gmail.com,https://www.microsoft.com
ID07426,14-Aug,West,San Diego,Cookies,Chocolate Chip,1,1.87,130.9,doe@gmail.com,https://www.facebook.com
ID07427,17-Aug,East,Boston,Cookies,Arrowroot,1,2.18,67.58,jhon@gmail.com,https://www.meta.com
ID07428,20-Aug,East,Boston,Bars,Carrot,1,1.77,192.93,smith@gmail.com,https://www.spaces.com
ID07429,23-Aug,East,Boston,Crackers,Whole Wheat,1,3.49,73.29,Spectre@gmail.com,https://www.google.com
ID07430,26-Aug,West,Los Angeles,Cookies,Chocolate Chip,1,1.87,149.6,doe@gmail.com,https://www.yahoo.com
ID07431,29-Aug,East,New York,Bars,Bran,1,1.87,140.25,jhon@gmail.com,https://www.microsoft.com
ID07432,1-Sep,East,New York,Cookies,Oatmeal Raisin,1,2.84,210.16,smith@gmail.com,https://www.facebook.com
ID07433,4-Sep,West,San Diego,Bars,Carrot,1,1.77,79.65,Spectre@gmail.com,https://www.meta.com
ID07434,7-Sep,East,Boston,Cookies,Arrowroot,1,2.18,61.04,doe@gmail.com,https://www.spaces.com
ID07435,10-Sep,East,Boston,Bars,Carrot,1,1.77,253.11,jhon@gmail.com,https://www.google.com
ID07436,13-Sep,East,Boston,Snacks,Pretzels,1,3.15,85.05,smith@gmail.com,https://www.yahoo.com
ID07437,16-Sep,West,Los Angeles,Bars,Carrot,1,1.77,235.41,Spectre@gmail.com,https://www.microsoft.com
ID07438,19-Sep,East,New York,Cookies,Arrowroot,1,2.18,239.8,doe@gmail.com,https://www.facebook.com
ID07439,22-Sep,East,New York,Cookies,Chocolate Chip,1,1.87,121.55,jhon@gmail.com,https://www.meta.com
ID07440,25-Sep,West,San Diego,Bars,Bran,1,1.87,61.71,smith@gmail.com,https://www.spaces.com
ID07441,28-Sep,East,Boston,Cookies,Arrowroot,1,2.18,176.58,Spectre@gmail.com,https://www.google.com
ID07442,1-Oct,East,Boston,Bars,Carrot,1,1.77,136.29,doe@gmail.com,https://www.yahoo.com
ID07443,4-Oct,East,Boston,Crackers,Whole Wheat,1,3.49,132.62,jhon@gmail.com,https://www.microsoft.com
ID07444,7-Oct,West,Los Angeles,Bars,Carrot,1,1.77,70.8,smith@gmail.com,https://www.facebook.com
ID07445,10-Oct,West,Los Angeles,Snacks,Potato Chips,1,1.68,191.52,Spectre@gmail.com,https://www.meta.com
